Start to init hits and costs
Finished to init hits and costs
Ref 1 RI 1865928 CNT 57
Ref 1 RI 1870020 CNT 57
Ref 1 RI 1874112 CNT 58
Ref 1 RI 1878204 CNT 58
Ref 1 RI 1882296 CNT 58
Ref 1 RI 1886388 CNT 58
Ref 1 RI 1890480 CNT 58
Ref 1 RI 1894572 CNT 58
Ref 1 RI 1898664 CNT 58
Ref 1 RI 1902756 CNT 58
Ref 1 RI 1906848 CNT 59
Ref 1 RI 1910940 CNT 59
Ref 1 RI 1915032 CNT 59
Ref 1 RI 1919124 CNT 59
Ref 1 RI 1923216 CNT 59
Ref 1 RI 1927308 CNT 59
Ref 1 RI 1931400 CNT 59
Ref 1 RI 1935492 CNT 59
Ref 1 RI 1939584 CNT 60
Ref 1 RI 1943676 CNT 60
Ref 1 RI 1947768 CNT 60
Ref 1 RI 1951860 CNT 60
Ref 1 RI 1955952 CNT 60
Ref 1 RI 1960044 CNT 60
Ref 1 RI 1964136 CNT 60
Ref 1 RI 1968228 CNT 60
Ref 1 RI 1972320 CNT 61
Ref 1 RI 1976412 CNT 61
Ref 1 RI 1980504 CNT 61
Ref 1 RI 1984596 CNT 61
Ref 1 RI 1988688 CNT 61
Ref 1 RI 1992780 CNT 61
Ref 1 RI 1996872 CNT 61
Ref 1 RI 2000964 CNT 61
Ref 1 RI 2005056 CNT 62
Ref 1 RI 2009148 CNT 62
Ref 1 RI 2013240 CNT 62
Ref 1 RI 2017332 CNT 62
Ref 1 RI 2021424 CNT 62
Ref 1 RI 2025516 CNT 62
Ref 1 RI 2029608 CNT 62
Ref 1 RI 2033700 CNT 62
Ref 1 RI 2037792 CNT 63
Ref 1 RI 2041884 CNT 63
Ref 1 RI 2045976 CNT 63
Ref 1 RI 2050068 CNT 63
Ref 1 RI 2054160 CNT 63
Ref 1 RI 2058252 CNT 63
Ref 1 RI 2062344 CNT 63
Ref 1 RI 2066436 CNT 63
Ref 1 RI 2070528 CNT 64
Ref 1 RI 2074620 CNT 64
Ref 1 RI 2078712 CNT 64
Ref 1 RI 2082804 CNT 64
Ref 1 RI 2086896 CNT 64
Ref 1 RI 2090988 CNT 64
Ref 1 RI 2095080 CNT 64
Ref 1 RI 2099172 CNT 64
