processing 128 buffers, bufferindex=4194304
hash allocated 0,  hash table size 117480; scaletree size 42705.
processing 256 buffers, bufferindex=4194304
hash allocated 0,  hash table size 172954; scaletree size 26524.
processing 384 buffers, bufferindex=4194304
hash allocated 0,  hash table size 217999; scaletree size 51147.
processing 512 buffers, bufferindex=4194304
hash allocated 0,  hash table size 257663; scaletree size 39766.
processing 640 buffers, bufferindex=4194304
hash allocated 0,  hash table size 293940; scaletree size 27710.
processing 768 buffers, bufferindex=4194304
hash allocated 0,  hash table size 327724; scaletree size 9517.
Starting to print results.
/* Total number of data blocks is 328192 */
/* Total number of accesses is 3225420800 */
/* Bin 0 Distance 0 */	Reuses: 539427328
/* Bin 1 Distance 1 */	Reuses: 2097024
/* Bin 147 Distance 35584 to 35839 */	Reuses: 35541	SLQ: 0
/* Bin 148 Distance 35840 to 36095 */	Reuses: 35656	SLQ: 0
/* Bin 149 Distance 36096 to 36351 */	Reuses: 36192	SLQ: 0
/* Bin 150 Distance 36352 to 36607 */	Reuses: 36167	SLQ: 0
/* Bin 151 Distance 36608 to 36863 */	Reuses: 36705	SLQ: 0
/* Bin 152 Distance 36864 to 37119 */	Reuses: 36532	SLQ: 0
/* Bin 153 Distance 37120 to 37375 */	Reuses: 37074	SLQ: 0
/* Bin 154 Distance 37376 to 37631 */	Reuses: 37185	SLQ: 0
/* Bin 155 Distance 37632 to 37887 */	Reuses: 37731	SLQ: 0
/* Bin 156 Distance 37888 to 38143 */	Reuses: 37693	SLQ: 0
/* Bin 157 Distance 38144 to 38399 */	Reuses: 38247	SLQ: 0
/* Bin 158 Distance 38400 to 38655 */	Reuses: 38204	SLQ: 0
/* Bin 159 Distance 38656 to 38911 */	Reuses: 38760	SLQ: 0
/* Bin 160 Distance 38912 to 39167 */	Reuses: 38562	SLQ: 0
/* Bin 161 Distance 39168 to 39423 */	Reuses: 39120	SLQ: 0
/* Bin 162 Distance 39424 to 39679 */	Reuses: 39222	SLQ: 0
/* Bin 163 Distance 39680 to 39935 */	Reuses: 39786	SLQ: 0
/* Bin 164 Distance 39936 to 40191 */	Reuses: 39731	SLQ: 0
/* Bin 165 Distance 40192 to 40447 */	Reuses: 40301	SLQ: 0
/* Bin 166 Distance 40448 to 40703 */	Reuses: 40241	SLQ: 0
/* Bin 167 Distance 40704 to 40959 */	Reuses: 40815	SLQ: 0
/* Bin 168 Distance 40960 to 41215 */	Reuses: 40434	SLQ: 0
/* Bin 169 Distance 41216 to 41471 */	Reuses: 41324	SLQ: 0
/* Bin 170 Distance 41472 to 41727 */	Reuses: 41259	SLQ: 0
/* Bin 171 Distance 41728 to 41983 */	Reuses: 41841	SLQ: 0
/* Bin 172 Distance 41984 to 42239 */	Reuses: 41769	SLQ: 0
/* Bin 173 Distance 42240 to 42495 */	Reuses: 42355	SLQ: 0
/* Bin 174 Distance 42496 to 42751 */	Reuses: 42279	SLQ: 0
/* Bin 175 Distance 42752 to 43007 */	Reuses: 42869	SLQ: 0
/* Bin 176 Distance 43008 to 43263 */	Reuses: 42455	SLQ: 0
/* Bin 177 Distance 43264 to 43519 */	Reuses: 43379	SLQ: 0
/* Bin 178 Distance 43520 to 43775 */	Reuses: 43297	SLQ: 0
/* Bin 179 Distance 43776 to 44031 */	Reuses: 43895	SLQ: 0
/* Bin 180 Distance 44032 to 44287 */	Reuses: 43637	SLQ: 0
/* Bin 181 Distance 44288 to 44543 */	Reuses: 44579	SLQ: 0
/* Bin 182 Distance 44544 to 44799 */	Reuses: 44145	SLQ: 0
/* Bin 183 Distance 44800 to 45055 */	Reuses: 45095	SLQ: 0
/* Bin 184 Distance 45056 to 45311 */	Reuses: 44476	SLQ: 0
/* Bin 185 Distance 45312 to 45567 */	Reuses: 45434	SLQ: 0
/* Bin 186 Distance 45568 to 45823 */	Reuses: 45159	SLQ: 0
/* Bin 187 Distance 45824 to 46079 */	Reuses: 46125	SLQ: 0
/* Bin 188 Distance 46080 to 46335 */	Reuses: 45666	SLQ: 0
/* Bin 189 Distance 46336 to 46591 */	Reuses: 46642	SLQ: 0
/* Bin 190 Distance 46592 to 46847 */	Reuses: 46174	SLQ: 0
/* Bin 191 Distance 46848 to 47103 */	Reuses: 47158	SLQ: 0
/* Bin 192 Distance 47104 to 47359 */	Reuses: 46498	SLQ: 0
/* Bin 193 Distance 47360 to 47615 */	Reuses: 47488	SLQ: 0
/* Bin 194 Distance 47616 to 47871 */	Reuses: 47188	SLQ: 0
/* Bin 195 Distance 47872 to 48127 */	Reuses: 48188	SLQ: 0
/* Bin 196 Distance 48128 to 48383 */	Reuses: 47695	SLQ: 0
/* Bin 197 Distance 48384 to 48639 */	Reuses: 48705	SLQ: 0
